geoshape_city_id,名称,郡,出典
09B0040030,栃木町,下都賀郡,市町村制施行時 (1889)
09B0040031,南犬飼村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040033,富山村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040034,部屋村,下都賀郡/都賀郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040035,穂積村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040036,豊田村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0040037,野木村,下都賀郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050001,羽黒村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050002,横川村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050004,吉田村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050005,絹島村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050006,古里村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050007,国本村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050008,姿川村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050009,篠井村,河内郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050010,城山村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050011,瑞穂野村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050012,雀宮村/雀宮宿,河内郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050013,大沢村/大沢宿,河内郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050014,田原村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050015,富屋村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050016,平石村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050017,豊岡村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050018,豊郷村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050019,本郷村,河内郡,市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
09B0050020,明治村,河内郡,町村合併促進法公布時 (1953)
09B0050021,薬師寺村,河内郡,慶安郷帳 (1648) / 元禄郷帳 (1696) / 天保郷帳 (1834) / 明治19年便覧 (1886) / 市町村制施行時 (1889) / 町村合併促進法公布時 (1953)
